MAP,10,-31,26,-1
MAP,10,-27,32,-1
MAP,10,-32,29,2
MAP,10,-30,30,-1
MAP,10,-28,28,-1
MAP,10,-31,27,-1
MAP,10,-30,31,-1
MAP,10,-28,29,-1
MAP,10,-33,30,-1
MAP,10,-26,30,-1
MAP,10,-30,32,-1
MAP,10,-29,30,-1
MAP,10,-26,31,-1
MAP,10,-31,28,1
MAP,10,-30,33,-1
MAP,10,-30,26,-1
MAP,10,-33,32,-1
MAP,10,-31,29,1
MAP,10,-29,31,-1
MAP,10,-30,27,1
MAP,10,-27,29,-1
MAP,10,-29,32,-1
MAP,10,-32,30,2
MAP,10,-29,26,-1
MAP,10,-30,28,1
MAP,10,-28,30,-1
MAP,10,-32,31,1
MAP,10,-32,32,2
MAP,10,-30,29,-1
MAP,10,-29,27,1
MAP,10,-28,31,1
MAP,10,-28,32,-1
MAP,10,-29,28,-1
MAP,10,-26,29,-1
MAP,10,-32,33,2
MAP,10,-31,30,-1
MAP,10,-28,26,-1
MAP,10,-32,27,-1
MAP,10,-29,29,1
MAP,10,-31,31,-1
MAP,10,-27,30,-1
MAP,10,-32,28,-1
MAP,10,-28,27,-1
MAP,10,-27,31,-1
MAP,10,-31,32,-1
MAP,20,-31,26,-1
MAP,20,-27,32,-1
MAP,20,-32,29,2
MAP,20,-28,28,-1
MAP,20,-31,33,2
MAP,20,-25,29,-1
MAP,20,-27,25,-1
MAP,20,-30,30,1
MAP,20,-31,27,-1
MAP,20,-30,31,-1
MAP,20,-28,29,-1
MAP,20,-33,30,-1
MAP,20,-26,30,-1
MAP,20,-27,26,-1
MAP,20,-30,32,-1
MAP,20,-26,31,-1
MAP,20,-31,28,1
MAP,20,-27,27,-1
MAP,20,-33,31,2
MAP,20,-29,30,2
MAP,20,-30,33,-1
MAP,20,-30,26,-1
MAP,20,-33,32,-1
MAP,20,-29,31,-1
MAP,20,-31,29,1
MAP,20,-27,28,-1
MAP,20,-30,27,1
MAP,20,-29,32,-1
MAP,20,-25,30,-1
MAP,20,-27,29,1
MAP,20,-29,25,-1
MAP,20,-32,30,1
MAP,20,-29,26,-1
MAP,20,-30,28,1
MAP,20,-28,30,-1
MAP,20,-32,31,1
MAP,20,-30,29,-1
MAP,20,-29,27,1
MAP,20,-26,28,-1
MAP,20,-32,32,2
MAP,20,-28,31,1
MAP,20,-28,32,-1
MAP,20,-29,28,-1
MAP,20,-26,29,-1
MAP,20,-32,33,2
MAP,20,-28,25,-1
MAP,20,-31,30,1
MAP,20,-33,29,-1
MAP,20,-32,27,-1
MAP,20,-27,30,1
MAP,20,-31,31,2
MAP,20,-28,26,1
MAP,20,-29,29,1
MAP,20,-32,28,-1
MAP,20,-27,31,2
MAP,20,-25,28,-1
MAP,20,-28,27,1
MAP,20,-31,32,1
MAP,30,-31,26,-1
MAP,30,-27,32,-1
MAP,30,-32,29,2
MAP,30,-28,28,1
MAP,30,-31,33,2
MAP,30,-25,29,-1
MAP,30,-27,25,-1
MAP,30,-30,30,1
MAP,30,-31,27,-1
MAP,30,-33,30,-1
MAP,30,-26,30,-1
MAP,30,-27,26,-1
MAP,30,-28,29,1
MAP,30,-30,31,1
MAP,30,-30,32,-1
MAP,30,-26,31,-1
MAP,30,-33,31,2
MAP,30,-29,30,2
MAP,30,-31,28,1
MAP,30,-27,27,2
MAP,30,-30,33,-1
MAP,30,-30,26,-1
MAP,30,-33,32,-1
MAP,30,-29,31,-1
MAP,30,-31,29,1
MAP,30,-27,28,2
MAP,30,-29,32,-1
